"tlaID","wikidataID","transliterationLUT","hieroglyphs","lexicalCategoryID","lexicalCategory","additionalLexicalCategoryID","additionalLexicalCategory","genderID","gender","referentTypeID","referentType","senses","sensesLanguage"
"10030","L1380040","=ꞽ","𓀀","Q36224","pronoun","Q468801","personal pronoun","","","","","I; me; my, mine (suffix pron., 1st per. sing.)","EN"
"42370","L1381733","=w","𓅱𓏪","Q36224","pronoun","Q468801","personal pronoun","","","","","they; them; their (suffix pron., 3rd per. pl.)","EN"
"851168","L1395731","=wꞽ","𓅱𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 1. c. (after n.tj)]","EN"
"10050","L1380029","=f","𓆑","Q36224","pronoun","Q468801","personal pronoun","","","","","he; him; his (suffix pron., 3rd. per. masc. sing.)","EN"
"851172","L1391506","=fï","𓆑𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 3. m. (verbal adj.)]","EN"
"10060","L1380982","=fï","𓆑𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","his; its (suffix pron., 3rd per. masc. sing. after dual nouns)","EN"
"10070","L1380001","=n","𓈖𓏥","Q36224","pronoun","Q468801","personal pronoun","","","","","we; us; our (suffix pron., 1st per. pl.)","EN"
"10080","L1394686","=nï","𓈖𓇋","Q36224","pronoun","Q468801","personal pronoun","","","","","we two; us two; both our (suffix pron., 1st per. dual)","EN"
"10090","L1380187","=s","𓋴","Q36224","pronoun","Q468801","personal pronoun","","","","","she; her; hers (suffix pron. 3rd per. fem. sing.)","EN"
"851174","L1394176","=sï","","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 3. f. (verbal adj.)]","EN"
"127780","L1391747","=sï","𓋴𓏭","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 3. f. after the dual]","EN"
"851180","L1386449","=sn","","Q36224","pronoun","Q468801","personal pronoun","","","","","[suffix pron. sing. 3. c. (verbal adj.)]","EN"
"10100","L1380192","=sn","𓋴𓈖𓏥","Q36224","pronoun","Q468801","personal pronoun","","","","","they; them; their (suffix pron., 3rd per. pl.)","EN"
